Protein_Class,accuracy,sensitivity,specificity,auc
80,0.9865205341395817,0.28523489932885904,0.9999358069071768,0.8144298317796308
25,0.9925673973293021,0.2716049382716049,1.0,0.8268804101713185
75,0.9915595867976821,0.043478260869565216,0.9998729190494345,0.7902266461127041
43,0.9693247669438145,0.31369426751592355,0.9963273871983211,0.8635047574371245
81,0.9983623078861175,0.0,1.0,0.8627687454501335
78,0.9956538170823885,0.014285714285714285,1.0,0.8148451763344842
71,0.9518140589569161,0.24251497005988024,0.99959661153691,0.8028094677929337
63,0.9972285210380448,0.0,1.0,0.7656766789930635
69,0.9623330813807004,0.09515570934256055,0.9950973983527258,0.8264836392209941
23,0.9944570420760896,0.35384615384615387,0.9997459672297726,0.8719464772494113
4,0.9792139077853363,0.10344827586206896,0.9988408037094282,0.8228894633054415
44,0.9881582262534644,0.16666666666666666,0.997579001019368,0.8536532662249405
10,0.9940161249685059,0.08163265306122448,0.9996831030548865,0.8540767175167697
45,0.9904257999496094,0.15555555555555556,1.0,0.7956092847434592
0,0.9904257999496094,0.1935483870967742,0.9998725302740599,0.8017864607962061
20,0.9958427815570673,0.0,1.0,0.7704329825771952
72,0.9860166288737717,0.2929936305732484,1.0,0.8434611666340595
57,0.9951499118165785,0.0375,1.0,0.710825129779691
54,0.9953388762912573,0.0,1.0,0.7782781515853279
48,0.9776392038296801,0.08469945355191257,0.9987105093488072,0.8373500438638213
22,0.9763794406651549,0.18859649122807018,0.9996757457846952,0.8198381715475459
34,0.9882842025699169,0.005376344086021506,0.9999362651370299,0.7191764838915273
52,0.9978584026203073,0.0,1.0,0.7108022605583074
74,0.9976064499874023,0.0,1.0,0.7610385747801756
7,0.9962207105064248,0.0,1.0,0.793687826673411
24,0.9984252960443437,0.038461538461538464,1.0,0.6630744964814366
85,0.9981733434114386,0.19444444444444445,1.0,0.8469837261503929
55,0.9931342907533384,0.4222222222222222,0.9996814475025484,0.8651540732246008
6,0.9983623078861175,0.0,1.0,0.875701286095608
15,0.9977324263038548,0.14285714285714285,1.0,0.7903546918325244
53,0.9959057697152935,0.07142857142857142,1.0,0.825138735742304
12,0.9926933736457546,0.24675324675324675,1.0,0.8387413534182393
1,0.9880322499370119,0.010526315789473684,0.9998724977687109,0.7995760550809639
3,0.9981103552532123,0.0,1.0,0.7870440489713492
65,0.9986142605190225,0.08333333333333333,1.0,0.8551812599882245
41,0.9982363315696648,0.0,1.0,0.8275807672892479
19,0.9508692365835223,0.34695652173913044,0.9980306940105935,0.8342193340379926
47,0.9804106827916351,0.09177215189873418,0.9984575835475579,0.8436020427255865
46,0.9971655328798186,0.1,1.0,0.8789643624415518
70,0.9979843789367598,0.1111111111111111,1.0,0.8107595047699214
17,0.9946460065507684,0.22727272727272727,1.0,0.8268339234024886
56,0.9837490551776266,0.2529411764705882,0.9997425334706488,0.8002402389895196
9,0.9986142605190225,0.0,1.0,0.8553791988256476
83,0.9914965986394558,0.27956989247311825,0.9999362651370299,0.8265322066654331
11,0.9937641723356009,0.01,1.0,0.7878685978701826
14,0.995779793398841,0.07575757575757576,0.9996204933586338,0.7886387595116249
28,0.9913076341647771,0.17857142857142858,1.0,0.8027741399590138
64,0.9976064499874023,0.0,1.0,0.8119786855065431
16,0.9983623078861175,0.0,1.0,0.6953190973064791
8,0.9865205341395817,0.1640625,1.0,0.7638666873399487
77,0.9955908289241623,0.04411764705882353,0.9996837044534413,0.744478782150512
66,0.9965986394557823,0.0,1.0,0.8065738282841052
62,0.9977324263038548,0.0,1.0,0.83584455667789
84,0.9986142605190225,0.0,1.0,0.5161960847276856
27,0.9933232552280171,0.22727272727272727,0.9997459349593496,0.8265096660199557
13,0.9988662131519275,0.0,1.0,0.8479841930466221
21,0.995023935500126,0.27358490566037735,0.9998731769181991,0.8446103181345043
40,0.9974804736709498,0.0,1.0,0.7617374968426369
61,0.9402242378432855,0.21782178217821782,0.9893044531144894,0.8270328132638368
76,0.9270597127739985,0.4276729559748428,0.9952749140893471,0.8636948469817803
32,0.9969765684051398,0.0,1.0,0.7967874705163843
30,0.9920634920634921,0.045454545454545456,1.0,0.7728802891722101
82,0.9928823381204334,0.08333333333333333,0.9998095963442498,0.8070137302191758
2,0.9977324263038548,0.0,1.0,0.8579755892255891
29,0.9885361552028219,0.02197802197802198,0.9997451255256786,0.8247093800808597
42,0.9962207105064248,0.0625,1.0,0.7885022056033392
79,0.9963466868228773,0.22972972972972974,0.9999367168712822,0.827151113269959
49,0.9924414210128496,0.0,1.0,0.7772512587797242
36,0.9942050894431846,0.08,1.0,0.7794738843813388
60,0.9952128999748048,0.05,1.0,0.8069993985819195
50,0.9940791131267321,0.0,1.0,0.7444691905941863
39,0.99848828420257,0.0,1.0,0.7588632349230381
26,0.9977324263038548,0.0,1.0,0.7733445566778899
58,0.9958427815570673,0.1951219512195122,1.0,0.8287501891734126
5,0.9981103552532123,0.0,1.0,0.7926585047751272
73,0.99848828420257,0.0,1.0,0.6895383863234923
31,0.99848828420257,0.07692307692307693,1.0,0.8807134190730406
59,0.9934492315444696,0.16129032258064516,1.0,0.8218769454774816
33,0.9883471907281431,0.34285714285714286,0.999935880995127,0.8464354413219507
38,0.9860166288737717,0.20149253731343283,0.9994874423372629,0.8116321901512428
51,0.9878432854623331,0.18220338983050846,1.0,0.8221516158047597
37,0.9932602670697909,0.0,0.9999365884590996,0.7364762924588124
68,0.9824263038548753,0.1936416184971098,1.0,0.8063998823831554
18,0.9852607709750567,0.22847682119205298,0.9999357904199306,0.8159904391510047
35,0.9959687578735198,0.058823529411764705,1.0,0.811515762681591
67,0.9957168052406148,0.0,1.0,0.7877405706715885
