Protein_Class,accuracy,sensitivity,specificity,auc
80,0.985575711766188,0.23154362416107382,1.0,0.8128937212262002
25,0.9914336104812296,0.16049382716049382,1.0,0.8460376608418694
75,0.9913076341647771,0.0,1.0,0.8234615377531719
43,0.9677500629881582,0.304140127388535,0.9950813221406086,0.8529997773541146
81,0.9983623078861175,0.0,1.0,0.9174787672894928
78,0.9955908289241623,0.0,1.0,0.8442210010665028
71,0.9433736457545981,0.1027944111776447,1.0,0.7958871486554926
63,0.9972285210380448,0.0,1.0,0.8177719750562726
69,0.9635928445452255,0.0,1.0,0.8160258866414454
23,0.9936381960191484,0.25384615384615383,0.9997459672297726,0.8799475324624568
4,0.9780801209372638,0.0,1.0,0.8148465212267644
44,0.9886621315192744,0.0,1.0,0.843194125891947
10,0.9938271604938271,0.0,1.0,0.8446034390432557
45,0.9899218946837994,0.1111111111111111,1.0,0.7975683826027863
0,0.9882842025699169,0.0,1.0,0.8373217308469884
20,0.9958427815570673,0.0,1.0,0.7881710846606482
72,0.9846308893927942,0.2229299363057325,1.0,0.8473914082728057
57,0.9949609473418998,0.0,1.0,0.7785202741200303
54,0.9953388762912573,0.0,1.0,0.776985978511102
48,0.9769463340891912,0.0,1.0,0.8246591305450741
22,0.972915091962711,0.05701754385964912,1.0,0.8246842787903611
34,0.9882842025699169,0.0,1.0,0.7926017873174475
52,0.9978584026203073,0.0,1.0,0.7973982043265482
74,0.9976064499874023,0.0,1.0,0.831452170329853
7,0.9962207105064248,0.0,1.0,0.8072711178553363
24,0.9983623078861175,0.0,1.0,0.6960373695704927
85,0.9977324263038548,0.0,1.0,0.8771675084175085
55,0.9937011841773746,0.45555555555555555,0.9998725790010193,0.8525673561558501
6,0.9983623078861175,0.0,1.0,0.7978294103372968
15,0.9973544973544973,0.0,1.0,0.8032579079377109
53,0.9955908289241623,0.0,1.0,0.8269933659912149
12,0.991055681531872,0.07792207792207792,1.0,0.8497301737824572
1,0.9880322499370119,0.0,1.0,0.7797380500211386
3,0.9981103552532123,0.0,1.0,0.8186208927594767
65,0.99848828420257,0.0,1.0,0.8354886870216166
41,0.9982363315696648,0.0,1.0,0.8771341133626597
19,0.9462711010330058,0.2773913043478261,0.9985060437321743,0.8270432952069396
47,0.9800957420005039,0.0,1.0,0.8257794450229411
46,0.9968505920886873,0.0,1.0,0.8428895488436748
70,0.9977324263038548,0.0,1.0,0.8570435255331088
17,0.9937011841773746,0.09090909090909091,1.0,0.8442978561461374
56,0.9839380196523053,0.2529411764705882,0.9999356333676622,0.818344490216272
9,0.9986142605190225,0.0,1.0,0.778983221899836
83,0.9901738473167044,0.16129032258064516,1.0,0.8416730058869084
11,0.9937011841773746,0.0,1.0,0.8431487702839757
14,0.9958427815570673,0.0,1.0,0.8203649397197784
28,0.9912446460065508,0.17261904761904762,1.0,0.7932453284344041
64,0.9976064499874023,0.0,1.0,0.8213698234093885
16,0.9983623078861175,0.0,1.0,0.7580465906333415
8,0.9852607709750567,0.0859375,1.0,0.8040271636923816
77,0.9957168052406148,0.0,1.0,0.7929278176351512
66,0.9965986394557823,0.0,1.0,0.8565423437595097
62,0.9977324263038548,0.0,1.0,0.8610848063973064
84,0.9986142605190225,0.0,1.0,0.8504048304414143
27,0.9927563618039809,0.15151515151515152,0.9998094512195121,0.8294241962305987
13,0.9988662131519275,0.0,1.0,0.8804739283362061
21,0.9941421012849584,0.14150943396226415,0.9998731769181991,0.8483480097151266
40,0.9974804736709498,0.0,1.0,0.7919045213437738
61,0.9390904509952129,0.15247524752475247,0.9925332974572851,0.8098705864801468
76,0.9234063995968758,0.37945492662473795,0.997709049255441,0.8531808104058153
32,0.9969765684051398,0.0,1.0,0.7982326941706681
30,0.9916855631141346,0.0,1.0,0.7969341856060606
82,0.9924414210128496,0.0,1.0,0.8276413218244901
2,0.9977324263038548,0.0,1.0,0.8299786054994388
29,0.9885361552028219,0.0,1.0,0.8397107384777832
42,0.9959687578735198,0.0,1.0,0.8424090485074627
79,0.9957168052406148,0.08108108108108109,1.0,0.8524865993699053
49,0.9924414210128496,0.0,1.0,0.7679727828552085
36,0.9937011841773746,0.0,1.0,0.78608392494929
60,0.9949609473418998,0.0,1.0,0.8183883578121044
50,0.9940791131267321,0.0,1.0,0.772808774876846
39,0.99848828420257,0.0,1.0,0.7965148982252501
26,0.9977324263038548,0.0,1.0,0.8061184764309764
58,0.9954648526077098,0.12195121951219512,1.0,0.8344192144593346
5,0.9981103552532123,0.0,1.0,0.7924691825486978
73,0.99848828420257,0.0,1.0,0.7360046576667508
31,0.9983623078861175,0.0,1.0,0.8947828197039553
59,0.9921894683799446,0.0,1.0,0.8007582754468455
33,0.9878432854623331,0.3107142857142857,1.0,0.850700729124684
38,0.9851977828168305,0.13432835820895522,0.9998077908764736,0.823350970034502
51,0.985323759133283,0.012711864406779662,1.0,0.8381011855737135
37,0.9933232552280171,0.0,1.0,0.7818735717447745
68,0.9814184933232553,0.14739884393063585,1.0,0.8019330477278732
18,0.9843789367598892,0.18211920529801323,0.9999357904199306,0.8463413721459693
35,0.9957168052406148,0.0,1.0,0.860496918909264
67,0.9957168052406148,0.0,1.0,0.7938246085377472
