Protein_Class,accuracy,sensitivity,specificity,auc
80,0.9872763920382968,0.33221476510067116,0.9998074207215304,0.8410436849075577
25,0.9937011841773746,0.38271604938271603,1.0,0.8486852959616101
75,0.9919375157470396,0.16666666666666666,0.9991739738213242,0.8017329973976031
43,0.9713403880070547,0.3614649681528662,0.9964585519412382,0.8594272674791639
81,0.9988662131519275,0.3076923076923077,1.0,0.9177068672652269
78,0.9969765684051398,0.3142857142857143,1.0,0.8338334448039623
71,0.9559712773998488,0.31736526946107785,0.9989915288422752,0.8192054777093656
63,0.9977954144620811,0.20454545454545456,1.0,0.809786135100372
69,0.9617031997984379,0.1643598615916955,0.9918289972545431,0.8170700785909099
23,0.9945200302343159,0.4076923076923077,0.9993649180744316,0.8750495852426501
4,0.9806626354245402,0.21839080459770116,0.997746007212777,0.8182732194567321
44,0.9894809775762157,0.2611111111111111,0.9978338430173292,0.8476432424396874
10,0.9956538170823885,0.29591836734693877,1.0,0.82558832887953
45,0.9918115394305871,0.2833333333333333,0.9999362895005097,0.8091098935326765
0,0.9914965986394558,0.2956989247311828,0.9997450605481198,0.8377154478230775
20,0.9967876039304611,0.22727272727272727,1.0,0.7882621279205719
72,0.9876543209876543,0.39490445859872614,0.9996144454440303,0.8484027727184543
57,0.9957168052406148,0.15,1.0,0.7579735376044567
54,0.996283698664651,0.20270270270270271,1.0,0.7545794750578955
48,0.9780171327790376,0.16666666666666666,0.9971631205673759,0.8061122209186388
22,0.9797808012093726,0.3157894736842105,0.9994163424124514,0.827451319202676
34,0.9877173091458806,0.0967741935483871,0.9982791586998088,0.7629849503484858
52,0.9980473670949861,0.08823529411764706,1.0,0.707406596018031
74,0.9975434618291761,0.07894736842105263,0.9997474428589468,0.8219646619389743
7,0.996283698664651,0.05,0.999873545776429,0.787408320687911
24,0.99848828420257,0.07692307692307693,1.0,0.7668696918223732
85,0.9983623078861175,0.2777777777777778,1.0,0.8666649130190797
55,0.9933232552280171,0.45555555555555555,0.9994903160040775,0.8590263619889001
